N,P,K,temperature,humidity,ph,rainfall,label
42.0,67.0,77.0,18.99424448,15.9362937,7.114405288,78.69707199,chickpea
20.0,68.0,17.0,30.11873003,60.11680815,6.578714842999999,71.72980375,blackgram
88.0,52.0,39.0,23.92887902,88.07112278,6.880204617,154.6608736,jute
27.0,61.0,18.0,33.30711818,67.07780816,5.266227032,108.5090168,pigeonpeas
13.0,67.0,18.0,30.5753044,34.75591197,5.384762927000001,177.5764304,pigeonpeas
23.0,7.0,34.0,26.1055118,91.52421214,5.852038202,134.1279669,coconut
22.0,59.0,23.0,27.32220619,51.27868781,4.371745575,36.5037914,mothbeans
117.0,26.0,30.0,27.92374437,67.96910852,7.079850922,115.2325531,coffee
25.0,78.0,23.0,33.137300406565195,48.36712906324292,4.623047437569328,190.21615710000003,pigeonpeas
32.0,54.0,24.0,29.224525576777758,39.950649846128265,5.388947998393312,81.79616948500002,mothbeans
32.0,141.0,203.0,21.25941052,92.84416234,5.821347769,109.06584709999998,apple
22.0,42.0,22.0,25.54249137,56.96640758,7.887658711,48.46797044,mothbeans
33.0,12.0,8.0,25.26052689,90.31153735,6.822282114,117.36952959999998,orange
110.0,22.0,47.0,29.03157242,91.82172592,6.243673725,24.93861254,muskmelon
28.0,58.0,25.0,27.4818649,62.04814951,6.861640036,37.81123974,lentil
9.0,25.0,41.0,24.81530144,91.90842992,5.972714857000001,109.2853418,pomegranate
1.0,30.0,29.0,28.33333307,51.39586505,6.4341977560000005,91.67241761,mango
74.0,54.0,15.0,24.230867833685963,67.67219120252966,5.175386255009901,47.8058983431298,maize
37.0,18.0,30.0,27.63551259,99.34854917,6.38488418,157.91715369999997,coconut
99.0,39.0,18.0,19.20129357,68.30578978,6.11275104,87.85092352,maize
6.0,65.0,16.0,33.83417330296171,33.98137097572961,4.640359837680075,133.60743261560845,pigeonpeas
43.0,68.0,81.0,17.47809436,17.93253975,6.761599706,78.92060234,chickpea
44.0,47.0,45.0,38.73218907,94.73613484,6.579441304,218.142147,papaya
44.0,77.0,21.0,32.63918668,61.3009051,7.326980454,61.83876146,blackgram
41.0,55.0,13.0,26.558242365894014,80.64909911875583,4.534377588205263,41.29628596794987,mungbean
28.0,54.0,26.0,25.427292155420105,60.907812834548004,6.236058367329279,31.94351926712731,lentil
40.0,58.0,75.0,18.59190771,14.77959596,7.168096055,89.60982451,chickpea
39.0,64.0,52.0,28.91842453,94.63676767,6.678695788,63.68794608,papaya
69.0,51.0,23.0,22.21738222,72.85462807,6.80163854,106.6213157,maize
6.0,9.0,12.0,31.08368929,90.14362642,7.028746406000002,109.6894658,orange
85.0,37.0,39.0,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice
82.0,36.0,36.0,23.595326082850512,80.57464603301231,5.22985940315387,169.25386099298004,rice
31.0,62.0,16.0,31.962734273645218,64.34035253548757,5.373136027846295,60.1563104998363,blackgram
76.0,60.0,39.0,20.0454142,80.3477562,6.766240045,208.5810155,rice
107.0,34.0,32.0,26.77463708,66.4132686,6.78006386,177.7745075,coffee
20.0,42.0,15.0,27.53554492881599,83.87576513102859,5.187454830775471,36.261995682287804,mungbean
59.0,62.0,52.0,43.67549305,93.10887229,6.6086676839999985,103.8235658,papaya
39.0,25.0,36.0,18.90223032,94.99897537,5.567805185,107.6103211,pomegranate
123.0,50.0,16.0,23.04920461,75.53835214,6.498052108,70.65644296,cotton
24.0,67.0,20.0,22.15031256128286,21.798950648313266,4.853934255691334,92.32684359640677,kidneybeans
14.0,67.0,15.0,19.56376468,24.67385131,5.690065688,139.2921004,kidneybeans
71.0,52.0,18.0,25.10787449,55.97732754,5.790770202999999,78.16077693,maize
10.0,79.0,16.0,21.37954194036262,69.4583048648715,6.456495452147312,32.567903068266396,lentil
35.0,71.0,19.0,27.71131917849909,69.37212956202767,5.7828026326565105,42.41122927421576,lentil
28.0,27.0,32.0,28.94099669,93.00109012,5.764615485,191.7723087,coconut
1.0,67.0,21.0,27.52135365,60.53657684,6.551577598,48.06491307,lentil
61.0,52.0,41.0,24.97669518,83.891805,6.880431223,204.8001847,rice
49.0,71.0,76.0,19.71098332,17.63879418,6.613072145,85.57925437,chickpea
54.0,61.0,77.0,18.81198127,15.21618225,6.206582192999999,77.54294240000002,chickpea
5.0,19.0,25.0,27.351105600000004,54.43945147,6.441328044,96.27792547,mango
0.0,68.0,22.0,36.12042525505389,57.730879178363026,5.787304689817742,100.72257840108705,pigeonpeas
80.0,45.0,42.0,23.1426498,74.99739774,7.380396262,151.9035477,jute
0.0,21.0,32.0,35.89855625,54.25964196,6.430139436,92.19721736,mango
25.0,34.0,19.0,27.017980326528704,45.81585327800995,6.151673548295056,20.0,mothbeans
55.0,60.0,15.0,32.79766751,68.77994074,7.163043872,64.11411069,blackgram
23.0,71.0,78.0,16.805360933827785,15.686653091637222,5.745837961485667,46.1041267241587,chickpea
6.0,77.0,20.0,25.78746268,60.2816298,6.058306161,49.14337177,lentil
112.0,87.0,48.0,27.19711623,77.39706290000002,6.200111067999999,99.46950465,banana
28.0,35.0,22.0,29.53037621,86.73346018,7.156563094,59.87232071,mungbean
70.0,54.0,31.0,22.952117617685797,68.14647848106837,5.295873822587657,98.66060012203384,jute
38.0,36.0,21.0,28.02952623,84.8845732,6.5563729660000005,36.12042927,mungbean
49.0,69.0,82.0,18.31561493,15.36143547,7.26311855,81.78710463,chickpea
36.0,55.0,20.0,27.01470397,84.34262707,6.635968697999999,55.296354,mungbean
39.0,21.0,9.0,13.20844373,94.02769434,6.354022554,106.2696156,orange
12.0,31.0,26.0,35.7877738,51.94190321,5.395275719,100.2160615,mango
90.0,92.0,55.0,27.00932084,80.18546798,6.13465588,97.32531705,banana
52.0,63.0,19.0,29.58949031,68.32176769,6.928898659,67.53021213,blackgram
61.0,59.0,17.0,23.33844615,59.24580604,6.47444292,105.0083144,maize
32.0,129.0,201.0,16.36251869,83.00471609,6.48754639,71.55665483,grapes
93.0,56.0,42.0,23.85724032,82.22572988,7.382762603,195.0948311,rice
0.0,68.0,21.0,29.90630159400476,67.21831219215763,5.729904726503358,42.565763901096226,lentil
13.0,79.0,26.0,27.29547307047196,58.36416947102896,5.9785201732901365,66.82540742739258,pigeonpeas
133.0,57.0,19.0,23.54234715,75.98203329,7.947011366,84.12536744,cotton
115.0,9.0,52.0,29.06785065,90.97685539,6.019372459,29.1194739,muskmelon
117.0,51.0,15.0,22.9535715,78.71555832,6.044556594,99.75336197,cotton
24.0,18.0,6.0,26.56608303,94.45239715,6.285312759,116.3796525,orange
102.0,46.0,19.0,22.77076388,82.5993307,6.631005298,81.49543437,cotton
57.0,56.0,78.0,17.34150229,18.75626255,8.861479668,67.9545435,chickpea
97.0,22.0,50.0,26.26028739,86.14585891,6.769893799999998,58.97878791,watermelon
27.0,60.0,17.0,26.41768321,63.64698302,7.0267953589999985,64.42177127,blackgram
5.0,75.0,17.0,20.49973727797284,17.43897771302423,5.190979065794292,99.91365490796443,kidneybeans
87.0,60.0,23.0,19.107376760572592,58.23420744531001,4.925725122288451,50.04699943616105,maize
40.0,65.0,21.0,21.100365900898492,21.114681493661994,5.7433013498582435,101.53312856639135,kidneybeans
91.0,35.0,39.0,23.79391957,80.41817957,6.970859754,206.2611855,rice
105.0,88.0,54.0,25.78749808,84.51194224,6.020445317,114.2005455,banana
40.0,5.0,32.0,26.07010807,96.7036223,5.981169595,143.533473,coconut
9.0,143.0,197.0,23.75033085,92.88160462,5.570020684,117.6602827,apple
6.0,77.0,25.0,20.61162204,24.36314135,5.792744849,69.63833855,kidneybeans
66.0,58.0,35.0,23.5643831,79.46283115,7.321619041,185.25947,jute
100.0,32.0,26.0,25.234661,57.53161469,6.043485685,124.2261737,coffee
26.0,37.0,30.0,35.39986338,49.45962621,6.1661738339999985,97.41054011,mango
15.0,45.0,23.0,24.20422636,61.43378674,7.224193642,46.0203959,mothbeans
100.0,36.0,22.0,22.697040230967517,73.21724919802277,4.5,61.86861823584501,maize
41.0,52.0,21.0,37.49557377712782,64.5037689428411,5.524222909974104,131.9906911299603,pigeonpeas
21.0,82.0,76.0,16.713643506032273,15.79390012039356,4.5,68.88699293001186,chickpea
29.0,70.0,15.0,30.33499674,63.54718862,6.872594461,74.16699119,blackgram
100.0,48.0,34.0,20.604170131955204,75.57678520897743,5.204054815916216,245.1027690954121,rice
15.0,75.0,21.0,23.92746897249731,25.700627891993403,5.024299509128154,81.81130926921982,kidneybeans
22.0,67.0,22.0,29.03017561,64.49166566,7.475926645,54.93937710000001,lentil
12.0,47.0,19.0,27.277161055044083,92.87298314870492,5.25847516310388,33.23207921675501,mungbean
97.0,59.0,43.0,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice
68.0,69.0,52.0,25.65492304,92.74501561,6.813383387000001,52.95477913,papaya
117.0,24.0,53.0,29.17220859,92.21405224,6.293486295,21.30290472,muskmelon
46.0,76.0,77.0,18.2356751,19.68538502,6.967843048,83.74879344,chickpea
19.0,65.0,25.0,18.09551014,18.29318436,5.6250964460000015,144.7902323,kidneybeans
27.0,72.0,17.0,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas
14.0,22.0,9.0,17.24944623,91.13772765,6.543191814,112.50905159999998,orange
6.0,58.0,22.0,28.03962776829658,66.9023068752113,5.198737550124069,35.609762318389656,lentil
39.0,77.0,21.0,22.99774444,60.24218572,4.603563116,159.689339,pigeonpeas
39.0,52.0,17.0,30.65705894517215,44.88833021734801,5.523140988887432,32.86638012579322,mothbeans
22.0,70.0,19.0,18.23775702,21.07643273,5.515615023,69.44951585,kidneybeans
8.0,76.0,25.0,27.917839849550163,51.506526341915524,5.395446063838728,198.81214298523773,pigeonpeas
62.0,39.0,45.0,22.1067762835246,73.69640763588255,6.416295341297283,151.90951827063506,jute
73.0,57.0,41.0,21.44653958,84.94375962,5.824709117,272.2017204,rice
100.0,55.0,43.0,22.98449582249289,84.55481620953395,5.928039030156881,145.53249276810553,jute
70.0,68.0,55.0,42.84609252,94.63548176,6.691202286,78.80996390000001,papaya
22.0,72.0,85.0,18.86805647,15.65809214,6.391173589,88.51048983,chickpea
3.0,69.0,26.0,17.28420418801673,21.016437067820853,5.281615548883115,98.74313982010091,kidneybeans
18.0,73.0,20.0,29.85675920357657,36.634823308179314,4.5,60.238570018127646,pigeonpeas
76.0,57.0,18.0,18.9802729,74.52600826,6.092725883,94.26249353,maize
60.0,46.0,22.0,24.89364635,65.61418761,6.625404347999999,87.9298085,maize
2.0,36.0,31.0,30.90225239,49.95955487,5.73171945,91.77522598,mango
28.0,61.0,21.0,19.04064564537126,20.85247467443336,5.223702791914349,74.77302006654367,kidneybeans
23.0,138.0,200.0,9.851242629,80.22631717,5.96537863,68.42802444,grapes
30.0,65.0,25.0,32.88733849,64.59457409,7.70650895,71.50569456,blackgram
22.0,62.0,23.0,25.106641082853226,72.16604215573709,5.44007753080567,40.043439753425695,blackgram
111.0,29.0,31.0,26.05968403,52.31098539,6.136286518,161.3432535,coffee
21.0,26.0,27.0,27.00315545,47.67525434,5.6995869720000005,95.85118326,mango
100.0,6.0,53.0,29.05248036,93.92217834,6.105909623,23.66620626,muskmelon
22.0,17.0,26.0,28.69818144,47.71875722,4.754435025,99.642454,mango
62.0,48.0,17.0,23.26294044275659,57.006988586424505,5.34868574269058,79.4663627011269,maize
27.0,52.0,15.0,31.404698944326334,58.36810906428041,4.737598178306277,37.61139007141638,mothbeans
28.0,67.0,84.0,18.91517293142587,14.709050235804442,6.5,66.51235722204274,chickpea
51.0,69.0,19.0,27.091872939949155,66.20376183334425,6.4525823220376335,54.96474094072069,blackgram
6.0,63.0,23.0,26.01630259,49.94704718,5.906596905,160.33374469999995,pigeonpeas
29.0,37.0,21.0,30.312693928278627,82.1371898011263,5.25621833605483,57.222016159576526,mungbean
7.0,17.0,10.0,10.16431299,91.22320999,6.465913274,106.362551,orange
3.0,63.0,16.0,24.38041875,61.18458224,6.868881707999999,53.13946695,lentil
11.0,36.0,33.0,35.99009679,52.22780489,5.978634285,95.3713484,mango
22.0,66.0,63.0,16.931142964810526,14.823470136673693,5.845057102519245,54.25780580361784,chickpea
76.0,51.0,18.0,26.16985907,71.96246617,6.247040422,79.84925393,maize
38.0,120.0,197.0,17.5438296,82.94703302,6.323722572,73.77063744,grapes
4.0,23.0,5.0,22.67594476,93.36348717,7.477935216,110.3332655,orange
12.0,78.0,21.0,18.61512102795295,20.437995741111415,4.857567939215872,89.75694514051683,kidneybeans
5.0,48.0,18.0,37.192797190238224,46.535274875275846,5.041744140462846,102.84920532340844,pigeonpeas
4.0,46.0,15.0,31.01274943,62.40392519,3.504752314,63.77192383,mothbeans
23.0,37.0,24.0,28.77833449,44.2252605,7.991902443,33.95825723,mothbeans
32.0,12.0,30.0,25.39241091,98.08951196,5.579845008,218.080385,coconut
54.0,65.0,47.0,27.92765919,91.55594211,6.721835879,149.91075569999995,papaya
10.0,69.0,18.0,23.134288699247428,64.62965629789443,5.416362909562374,25.02084202618702,lentil
39.0,60.0,15.0,35.09357419,30.98685456,5.004074623999999,116.9106908,pigeonpeas
25.0,22.0,25.0,33.56150184,45.53556603,5.977413802999999,95.70525913,mango
105.0,95.0,50.0,27.33368994,83.67675197,5.849076099,101.0494791,banana
32.0,43.0,16.0,30.17095000340025,59.65398373266936,6.5,41.67826999745502,mothbeans
