N,P,K,temperature,humidity,ph,rainfall,label
25.0,70.0,22.0,20.04730493167424,68.64389744384421,5.819560820317022,37.30922339587107,lentil
80.0,15.0,28.0,23.11438731,68.00096043,6.703270635,161.8944624,coffee
29.0,65.0,24.0,25.7660990040904,61.55844631272653,6.770740489937412,38.42311748157304,lentil
28.0,58.0,24.0,22.48073551465917,20.41103361538844,6.285781027323573,125.68380883673584,kidneybeans
107.0,43.0,18.0,22.426733,81.53480799,6.745104394,65.54475812,cotton
14.0,65.0,26.0,19.737096354861897,20.459024785830007,5.963228533845198,88.86894675071747,kidneybeans
24.0,42.0,26.0,22.183483441780048,56.60064740340156,6.436459435146004,40.99190627805638,mothbeans
43.0,64.0,24.0,27.22506426723887,60.055571126502365,6.774661419280556,53.59867305269992,blackgram
50.0,60.0,47.0,32.57720726,92.74889453,6.92791761,93.7942847,papaya
37.0,62.0,22.0,17.34409956384413,23.66077588825221,6.377392254496314,120.0160281056903,kidneybeans
26.0,68.0,26.0,24.34810629434955,53.011013004973336,6.789444913882258,169.48487325385483,pigeonpeas
33.0,59.0,23.0,33.368494000048926,60.9006906309688,6.726003543209064,61.59089655237614,blackgram
30.0,63.0,16.0,23.60506572,21.90539577,5.5259045260000015,100.5978728,kidneybeans
20.0,28.0,26.0,26.37978453,91.49882979,5.547594847,167.0470997,coconut
36.0,62.0,26.0,36.63287227981146,62.3279194932897,6.50419912953198,143.59488851694064,pigeonpeas
95.0,75.0,45.0,28.98333432,82.95958244,5.829898502000001,109.022564,banana
59.0,55.0,79.0,20.36720401,16.89574311,8.766128654,82.2545577,chickpea
61.0,54.0,33.0,25.68935612497926,74.4619622272288,6.679130863794421,176.44705010149454,jute
84.0,27.0,29.0,23.32293161,53.00366334,7.167092586,168.26442869999997,coffee
20.0,60.0,78.0,18.17234999,14.70085967,6.358740355,90.7760707,chickpea
27.0,43.0,23.0,31.70447482,56.85420099,5.875333778,44.94317432,mothbeans
91.0,25.0,26.0,24.53460016,66.99765375,7.482414225,180.5059257,coffee
66.0,54.0,34.0,26.339124608191334,78.60663528682845,6.26879750389217,223.6814205851291,rice
28.0,67.0,27.0,18.47261126703365,25.30704016019991,6.380035720719779,65.8362103393111,kidneybeans
19.0,24.0,15.0,20.48954522,93.72485075,7.137136973,111.83919509999998,orange
95.0,7.0,45.0,27.30008597,90.80015308,6.031665834,25.09484511,muskmelon
38.0,59.0,21.0,17.605373751011367,23.185578201014472,5.879567709194639,124.25525490542232,kidneybeans
23.0,58.0,21.0,19.607987169127004,63.77383740290994,6.15538838423394,37.74000321690762,lentil
17.0,67.0,22.0,19.122771086620023,24.472204769483103,6.895743104033512,98.2879790680408,kidneybeans
27.0,65.0,20.0,34.836158421475915,62.377494598367285,6.103593139083765,101.10177168905832,pigeonpeas
35.0,66.0,69.0,20.582114465158423,15.977289380276863,6.282184404880232,79.46027452079025,chickpea
48.0,39.0,38.0,25.78236457307701,88.51364113652795,6.270555313569574,130.0166492565564,jute
89.0,9.0,47.0,29.47156259,90.77069618,6.6683827660000015,28.75226067,muskmelon
107.0,11.0,54.0,28.59052369,91.33617236,6.094016337999999,29.44008034,muskmelon
30.0,62.0,25.0,25.84896498021585,68.88432773119217,5.734691238523432,68.00088471718418,blackgram
67.0,58.0,39.0,25.2827223,80.54372813,5.453592032,220.1156708,rice
22.0,36.0,16.0,30.58139475,50.77148138,8.18422855,64.58559639,mothbeans
84.0,57.0,22.0,21.938241754512667,73.7880107819303,5.985727238061608,72.16853597448453,maize
18.0,55.0,22.0,27.936973164536752,85.66981222982704,5.993901849827655,34.04457201124735,mungbean
33.0,62.0,22.0,28.010535663190243,64.20797001159931,6.4046513664315405,68.03563607725091,blackgram
