year,state_name,district_name,district_code,block_name,block_code,village_name,village_code,N,N_low_pct,N_medium_pct,N_high_pct,N_samples,P,P_low_pct,P_medium_pct,P_high_pct,P_samples,K,K_low_pct,K_medium_pct,K_high_pct,K_samples,ph,ph_acidic_pct,ph_neutral_pct,ph_alkaline_pct,ph_samples,organic_carbon_pct,zinc_deficient_pct,iron_deficient_pct,boron_deficient_pct,copper_deficient_pct,manganese_deficient_pct,sulphur_deficient_pct,deficient_micronutrients,saline_pct,total_samples
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Pipra,347136,12.0,100.0,0.0,0.0,1,77.0,0.0,0.0,100.0,1,32.0,0.0,100.0,0.0,1,6.8,0.0,100.0,0.0,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Husru,347137,17.0,80.0,20.0,0.0,70,54.34285714285714,0.0,87.1,12.9,70,27.267605633802816,33.8,66.2,0.0,71,6.777941176470588,1.5,98.5,0.0,68,0.4685714285714285,57.7,1.4,40.8,4.2,0.0,0.0,Zinc,0.0,845
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Sundi,347139,17.555555555555557,77.8,22.2,0.0,18,72.66666666666667,0.0,16.7,83.3,18,28.11111111111111,27.8,72.2,0.0,18,6.8,0.0,100.0,0.0,18,0.5444444444444445,11.1,0.0,5.6,0.0,0.0,5.6,,0.0,216
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Raji,347141,12.0,100.0,0.0,0.0,11,74.63636363636364,0.0,9.1,90.9,11,29.454545454545453,18.2,81.8,0.0,11,6.8,0.0,100.0,0.0,11,0.4636363636363636,27.3,0.0,18.2,0.0,0.0,0.0,,0.0,132
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Kharaundhi,347142,17.916876574307306,77.6,21.9,0.5,397,55.768261964735515,0.3,81.1,18.6,397,27.871859296482413,29.9,69.8,0.3,398,6.783627204030227,1.3,98.5,0.3,397,0.6301007556675062,39.7,0.8,26.9,1.3,0.0,0.5,,0.0,4770
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Chandni,347143,18.132075471698112,75.5,24.5,0.0,159,64.0503144654088,0.6,48.4,50.9,159,30.08805031446541,15.7,83.0,1.3,159,6.620754716981132,11.9,88.1,0.0,159,0.5119496855345912,45.9,0.0,41.5,2.5,0.0,1.3,,0.0,1908
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Lami Alias Sarahia,347144,17.28846153846154,78.8,21.2,0.0,52,71.0,0.0,23.1,76.9,52,27.153846153846153,34.6,65.4,0.0,52,6.799999999999999,0.0,100.0,0.0,52,0.5480769230769231,13.5,0.0,15.4,0.0,0.0,3.8,,0.0,624
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Amrora,347145,14.857142857142858,88.6,11.4,0.0,105,60.65714285714286,0.0,62.9,37.1,105,27.01904761904762,37.1,61.9,1.0,105,6.728571428571429,4.8,95.2,0.0,105,0.48333333333333334,46.7,1.9,18.1,0.0,0.0,1.9,,0.0,1260
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Majhiganwan,347146,16.285714285714285,82.9,17.1,0.0,105,51.99047619047619,0.0,96.2,3.8,105,28.8,22.9,77.1,0.0,105,6.742307692307692,3.8,96.2,0.0,104,0.5211538461538461,41.0,0.0,31.4,1.9,0.0,0.0,,0.0,1257
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Hendea Alias Baitri,347148,17.681818181818183,77.3,22.7,0.0,22,64.17647058823529,11.8,23.5,64.7,17,36.130434782608695,34.8,26.1,39.1,23,6.8,0.0,100.0,0.0,22,0.4068181818181818,0.0,0.0,5.9,0.0,4.5,55.6,Sulphur,0.0,253
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Baitra,347149,13.470588235294118,94.1,5.9,0.0,17,67.82352941176471,0.0,35.3,64.7,17,29.529411764705884,17.6,82.4,0.0,17,6.8,0.0,100.0,0.0,17,0.4235294117647058,64.7,0.0,5.9,0.0,0.0,0.0,Zinc,0.0,204
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Sisri,347150,17.476190476190474,78.1,21.9,0.0,105,57.917647058823526,2.4,68.2,29.4,85,31.0,31.1,54.4,14.6,103,6.7,8.6,88.6,2.9,105,0.5319047619047619,47.3,8.7,54.5,1.0,2.9,12.6,Boron,1.9,1201
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Arangi,347152,18.106870229007633,75.6,24.4,0.0,131,70.45967741935483,0.8,23.4,75.8,124,30.094488188976378,29.1,61.4,9.4,127,6.8,0.0,100.0,0.0,127,0.5089147286821706,18.5,0.8,11.7,0.0,0.0,9.8,,0.0,1532
2024-25,Jharkhand,Garhwa,328,Kharaundhi,3124,Aunraia Alias Chauria,347153,12.0,100.0,0.0,0.0,2,77.0,0.0,0.0,100.0,1,55.0,0.0,0.0,100.0,1,6.8,0.0,100.0,0.0,2,0.35,0.0,0.0,0.0,0.0,100.0,0.0,Manganese,0.0,20
2024-25,Jharkhand,Garhwa,328,Bhawnathpur,3118,Makri,347157,17.462311557788944,79.4,20.1,0.5,199,53.35175879396985,0.0,91.0,9.0,199,30.21608040201005,13.6,85.9,0.5,199,6.746969696969696,3.5,96.5,0.0,198,0.5620603015075376,32.2,0.5,15.6,0.0,0.0,0.0,,0.0,2378
2024-25,Jharkhand,Garhwa,328,Bhawnathpur,3118,Dhanimandra,347158,14.173913043478262,91.3,8.7,0.0,23,56.43478260869565,4.3,69.6,26.1,23,28.347826086956523,26.1,73.9,0.0,23,6.8,0.0,100.0,0.0,23,0.5739130434782609,47.8,0.0,54.5,0.0,21.7,0.0,Boron,0.0,270
2024-25,Jharkhand,Garhwa,328,Bhawnathpur,3118,Adhaura,347160,12.0,100.0,0.0,0.0,3,51.0,0.0,100.0,0.0,2,32.0,0.0,100.0,0.0,2,6.8,0.0,100.0,0.0,3,0.5166666666666666,33.3,0.0,100.0,0.0,0.0,0.0,Boron,0.0,32
2024-25,Jharkhand,Garhwa,328,Bhawnathpur,3118,Pandaria,347161,12.0,100.0,0.0,0.0,2,64.0,0.0,50.0,50.0,2,25.0,50.0,50.0,0.0,2,6.8,0.0,100.0,0.0,2,0.475,50.0,0.0,50.0,0.0,50.0,0.0,"Zinc,Boron,Manganese",0.0,23
2024-25,Jharkhand,Garhwa,328,Bhawnathpur,3118,Singhitali,347162,18.25,75.0,25.0,0.0,20,52.3,0.0,95.0,5.0,20,31.3,5.0,95.0,0.0,20,6.575,15.0,85.0,0.0,20,0.5525,30.0,0.0,55.0,0.0,0.0,0.0,Boron,0.0,240
2024-25,Jharkhand,Garhwa,328,Bhawnathpur,3118,Chapri,347163,16.464285714285715,82.1,17.9,0.0,28,55.642857142857146,0.0,82.1,17.9,28,32.32142857142857,3.6,92.9,3.6,28,6.639285714285714,10.7,89.3,0.0,28,0.5999999999999999,53.6,0.0,35.7,0.0,0.0,0.0,Zinc,0.0,336
2023-24,Jharkhand,Garhwa,328,Bhawnathpur,3118,Saraia,347164,12.0,100.0,0.0,0.0,1,51.0,0.0,100.0,0.0,1,32.0,0.0,100.0,0.0,1,6.8,0.0,100.0,0.0,1,0.35,100.0,0.0,100.0,0.0,0.0,0.0,"Zinc,Boron",0.0,12
2024-25,Jharkhand,Garhwa,328,Bhawnathpur,3118,Bhawnathpur,347166,22.294117647058822,58.8,41.2,0.0,17,52.529411764705884,0.0,94.1,5.9,17,32.0,0.0,100.0,0.0,17,6.7,6.7,93.3,0.0,15,0.6235294117647059,52.9,0.0,29.4,0.0,0.0,0.0,Zinc,0.0,202
2024-25,Jharkhand,Garhwa,328,Bhawnathpur,3118,Buka,347167,17.033557046979865,79.9,20.1,0.0,149,56.758389261744966,0.0,77.9,22.1,149,28.140939597315437,30.9,67.1,2.0,149,6.648993288590604,10.1,89.9,0.0,149,0.5081081081081081,24.2,0.7,40.5,0.7,25.7,0.0,,0.0,1730
2024-25,Jharkhand,Garhwa,328,Bhawnathpur,3118,Kailan,347170,12.0,100.0,0.0,0.0,1,51.0,0.0,100.0,0.0,1,18.0,100.0,0.0,0.0,1,6.8,0.0,100.0,0.0,1,0.6,100.0,0.0,100.0,0.0,0.0,0.0,"Zinc,Boron",0.0,12
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Rapura,347174,22.0,60.0,40.0,0.0,10,66.6,0.0,40.0,60.0,10,30.6,10.0,90.0,0.0,10,6.8,0.0,100.0,0.0,10,0.5650000000000001,0.0,0.0,20.0,10.0,0.0,0.0,,0.0,120
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Majhiganwan,347175,26.0,44.0,56.0,0.0,50,51.0,0.0,100.0,0.0,50,28.92,22.0,78.0,0.0,50,6.65,10.0,90.0,0.0,50,0.552,60.0,2.0,28.0,0.0,0.0,0.0,Zinc,0.0,600
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Bato Khurd,347176,13.5625,93.8,6.2,0.0,16,52.625,0.0,93.8,6.2,16,29.375,18.8,81.2,0.0,16,6.518749999999999,18.8,81.2,0.0,16,0.61875,31.2,0.0,6.2,0.0,0.0,0.0,,0.0,192
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Dagar,347177,16.819277108433734,80.7,19.3,0.0,83,53.44578313253012,1.2,88.0,10.8,83,29.132530120481928,20.5,79.5,0.0,83,6.781927710843373,1.2,98.8,0.0,83,0.5391566265060241,32.5,0.0,26.5,0.0,0.0,0.0,,0.0,990
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Daridah,347179,15.125,87.5,12.5,0.0,16,57.5,0.0,75.0,25.0,16,28.5,25.0,75.0,0.0,16,6.6125,12.5,87.5,0.0,16,0.578125,12.5,0.0,0.0,18.8,0.0,0.0,,0.0,192
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Dumarsota,347180,22.055555555555557,66.7,30.6,2.8,36,56.77777777777778,0.0,77.8,22.2,36,27.72222222222222,30.6,69.4,0.0,36,6.675000000000001,8.3,91.7,0.0,36,0.5625,13.9,0.0,16.7,8.3,0.0,0.0,,0.0,432
2024-25,Jharkhand,Garhwa,328,Bhawnathpur,3118,Sinduria (Ct),347181,17.0,80.0,20.0,0.0,75,55.16,0.0,84.0,16.0,75,26.96,36.0,64.0,0.0,75,6.72,5.3,94.7,0.0,75,0.5786666666666667,28.0,0.0,14.7,0.0,0.0,0.0,,0.0,897
2024-25,Jharkhand,Garhwa,328,Ketar,6627,Checharia,347182,16.846938775510203,80.6,19.4,0.0,98,53.38775510204081,0.0,90.8,9.2,98,30.285714285714285,12.2,87.8,0.0,98,6.688297872340426,7.4,92.6,0.0,94,0.5675257731958763,32.7,0.0,27.6,1.0,0.0,0.0,,0.0,1169
2024-25,Jharkhand,Garhwa,328,Ketar,6627,Khonhar,347183,16.605263157894736,81.6,18.4,0.0,152,52.36842105263158,0.0,94.7,5.3,152,28.19078947368421,28.3,71.1,0.7,152,6.7407894736842096,3.9,96.1,0.0,152,0.5888157894736842,22.4,0.0,16.4,0.0,0.0,0.0,,0.0,1824
2024-25,Jharkhand,Garhwa,328,Ketar,6627,Parti Kuswani,347185,17.257009345794394,79.0,21.0,0.0,214,62.373831775700936,0.9,54.2,44.9,214,30.8411214953271,9.8,89.3,0.9,214,6.673831775700934,8.4,91.6,0.0,214,0.5927570093457943,36.9,0.0,32.2,2.8,0.0,1.4,,0.5,2564
2024-25,Jharkhand,Garhwa,328,Ketar,6627,Pachadumar,347187,12.0,100.0,0.0,0.0,5,51.0,0.0,100.0,0.0,5,32.0,0.0,100.0,0.0,5,6.8,0.0,100.0,0.0,5,0.4,100.0,0.0,20.0,0.0,0.0,0.0,Zinc,0.0,60
2024-25,Jharkhand,Garhwa,328,Ketar,6627,Bato Kalan,347188,15.61111111111111,85.6,14.4,0.0,90,52.733333333333334,0.0,93.3,6.7,90,31.377777777777776,4.4,95.6,0.0,90,6.716666666666667,5.6,94.4,0.0,90,0.4666666666666667,58.9,1.1,36.7,1.1,0.0,0.0,Zinc,0.0,1080
2024-25,Jharkhand,Garhwa,328,Ketar,6627,Baligarh,347190,17.0,80.0,20.0,0.0,15,52.733333333333334,0.0,93.3,6.7,15,28.266666666666666,26.7,73.3,0.0,15,6.599999999999999,13.3,86.7,0.0,15,0.5233333333333333,33.3,0.0,60.0,0.0,0.0,0.0,Boron,0.0,180
2024-25,Jharkhand,Garhwa,328,Ketar,6627,Ketar,347191,30.75,25.0,75.0,0.0,4,64.0,0.0,50.0,50.0,4,32.0,0.0,100.0,0.0,4,6.8,0.0,100.0,0.0,4,0.475,100.0,0.0,0.0,0.0,0.0,0.0,Zinc,0.0,48
2024-25,Jharkhand,Garhwa,328,Ketar,6627,Nawadih,347193,12.0,100.0,0.0,0.0,2,64.0,0.0,50.0,50.0,2,18.0,100.0,0.0,0.0,2,6.8,0.0,100.0,0.0,2,0.35,0.0,0.0,50.0,0.0,0.0,0.0,Boron,0.0,24
2024-25,Jharkhand,Garhwa,328,Ketar,6627,Gamharia,347194,12.0,100.0,0.0,0.0,1,51.0,0.0,100.0,0.0,1,18.0,100.0,0.0,0.0,1,6.8,0.0,100.0,0.0,1,0.35,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12
2024-25,Jharkhand,Garhwa,328,Ketar,6627,Merauni Chherhat,347210,12.0,100.0,0.0,0.0,1,51.0,0.0,100.0,0.0,1,32.0,0.0,100.0,0.0,1,6.8,0.0,100.0,0.0,1,0.6,0.0,0.0,100.0,0.0,0.0,0.0,Boron,0.0,12
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Bhandaria,347213,23.363636363636363,54.5,45.5,0.0,11,65.18181818181819,0.0,45.5,54.5,11,29.454545454545453,18.2,81.8,0.0,11,6.8,0.0,100.0,0.0,11,0.4636363636363636,54.5,0.0,72.7,0.0,0.0,0.0,"Zinc,Boron",0.0,132
